fdc_id,data_type,description,food_category_id,publication_date,sort_description,fields
169714,sr_legacy_food,"Rice flour, white, unenriched",20,2019-04-01,"rice flour, white, unenriched",2
169715,sr_legacy_food,"Semolina, enriched",20,2019-04-01,"semolina, enriched",1
169716,sr_legacy_food,Sorghum grain,20,2019-04-01,sorghum grain,0
169717,sr_legacy_food,"Tapioca, pearl, dry",20,2019-04-01,"tapioca, pearl, dry",2
169718,sr_legacy_food,Triticale,20,2019-04-01,triticale,0
169719,sr_legacy_food,"Wheat, hard white",20,2019-04-01,"wheat, hard white",1
169720,sr_legacy_food,"Wheat, soft white",20,2019-04-01,"wheat, soft white",1
169721,sr_legacy_food,"Wheat, durum",20,2019-04-01,"wheat, durum",1
169722,sr_legacy_food,"Wheat bran, crude",20,2019-04-01,"wheat bran, crude",1
169723,sr_legacy_food,"Wheat flour, white, cake, enriched",20,2019-04-01,"wheat flour, white, cake, enriched",3
169724,sr_legacy_food,"Wheat flour, white, tortilla mix, enriched",20,2019-04-01,"wheat flour, white, tortilla mix, enriched",3
169725,sr_legacy_food,"Wheat, sprouted",20,2019-04-01,"wheat, sprouted",1
169726,sr_legacy_food,"Wild rice, raw",20,2019-04-01,"wild rice, raw",1
169727,sr_legacy_food,"Pasta, fresh-refrigerated, plain, as purchased",20,2019-04-01,"pasta, fresh-refrigerated, plain, as purchased",3
169728,sr_legacy_food,"Pasta, fresh-refrigerated, plain, cooked",20,2019-04-01,"pasta, fresh-refrigerated, plain, cooked",3
169729,sr_legacy_food,"Pasta, fresh-refrigerated, spinach, as purchased",20,2019-04-01,"pasta, fresh-refrigerated, spinach, as purchased",3
169730,sr_legacy_food,"Pasta, fresh-refrigerated, spinach, cooked",20,2019-04-01,"pasta, fresh-refrigerated, spinach, cooked",3
169731,sr_legacy_food,"Noodles, egg, dry, enriched",20,2019-04-01,"noodles, egg, dry, enriched",3
169732,sr_legacy_food,"Noodles, egg, enriched, cooked",20,2019-04-01,"noodles, egg, enriched, cooked",3
169733,sr_legacy_food,"Noodles, egg, spinach, enriched, dry",20,2019-04-01,"noodles, egg, spinach, enriched, dry",4
169734,sr_legacy_food,"Noodles, egg, spinach, enriched, cooked",20,2019-04-01,"noodles, egg, spinach, enriched, cooked",4
